Tweet,Location,Date
b'@NTANewsNow @NTANewsNow \nPlease kindly provide answers to these.\n\n1.What is the name of the Italian man that brought Corona virus to Nigeria? \n2.What is the name of the company he is working? \nhttps://t.co/rrALesoQeg many persons who have come in contact with him have tested positive?',"Enugu, Nigeria",2020-03-02 20:16:31
b'The corona virus scam in Nigeria https://t.co/aMqR4KSeXl',,2020-03-02 20:14:47
"b""Only 1 person in Nigeria has been reported as having the Corona virus, and he's holding $3 million for you if you would like to provide your Paypal information. https://t.co/RnDp5aMF73""",12 systems,2020-03-02 20:06:04
"b'So, we are going to be fighting corruption, Boko Haram, Bandit  and corona virus at the same time.\n\nGod, why Nigeria!'",🇳✴,2020-03-02 20:03:58
b'You not going to state that the first Corona case in Nigeria was from an Italian business man living in Nigeria ? \n\nYet for Senegal you mention it\xe2\x80\x99s from a French carrier ? \n\nFor a facts page you\xe2\x80\x99re beginning to sound like the virus itself...non factual https://t.co/42y2avjT4F',South Africa,2020-03-02 20:00:22
"b""#CoronaOutbreak Corpers complaining about delay in allawee.. Abi allawee Ti ko corona virus ni??. It is not easy to serve Nigeria... NYSc playing hanky panky games plus kalukalu with People's children.. \xf0\x9f\x98\x82 #NYSCAlert""",Abeokuta,2020-03-02 19:59:48
"b'The latest cure for Corona Virus has been discovered by 2 Nigeria Artistes, the cures are: \nZanku Dance, Gbeku Dance &amp; Marlian Dance.\n#coronavirusnigeria #coronavirusinlagos #Coronavirusnyc #CoronaOutbreak #CoronaVirusIndonesia #Skiraj'","Port Harcourt, Nigeria",2020-03-02 19:58:08
"b'@Target757 @umayyah_kasheem ""Dem close boarder"" \xf0\x9f\x98\x82 Corona virus na for Nigeria you go die.'", This fragile world,2020-03-02 19:55:38
b'@Abbiypearl_ Your brother now your child!\n\nPls stop confusing corona virus jur',"Lagos, Nigeria",2020-03-02 19:52:02
"b'..... AND THEY  TRY TO REDUCE OUR POPULATION BY ALL MEANS, THEY TRIED TERRORISM,  IT FAILED,  THEY INVENTED CORONA VIRUS,  IT GOING TO  ALSO FAIL,  NOW THEY WANT TO SECRETLY USE NUCLEAR REACTOR ...  IT WILL ALSO FAIL .  PLS NIGERIANS PRAY...  GOD BLESS NIGERIA. GOD BLESS AFRICA.'",,2020-03-02 19:51:25
b'THE LORD SHOWED ME  IN A VISION THE ENEMIES  OF NIGERIA AND AFRICA TRYING TO SECRETLY DUMP THEIR NUCLEAR WASTE IN NIGERIA...  THE RESULT IS MORE DEADLY THAN CORONA VIRUS..... PLS LET PRAY THAT GOD WILL HELP OUR GOVERNMENT TO  MAKE A RIGHT CHOICE WHILE  TRADING WITH FOREIGN....',,2020-03-02 19:49:48
"b""@Ureport24x7_ @UNICEF_Nigeria @Fmohnigeria @MiriamObibi @UreportNigeria Awesomely, was so happy to have received the Corona virus info via my phone from @Ureport24x7_ it's really so interesting to have this kind of platform, as it goes a long way towards educating people health\n#COVID19Nigeria\n#GoodHealth\n#healthylifestyle""","Borno, Nigeria",2020-03-02 19:47:08
b'May God be with all those who have been saddled with the all important responsibility to confront the corona virus scare in Nigeria.',"Makurdi, Nigeria",2020-03-02 19:43:05
b'Nigeria my country. Nothing like corona virus in Nigeria. They just say it reaches the country to get money. Where is the Italian that brings it? what is his name? On which condition is he now?. They will now be releasing money against it till they got a lot.',Nigeria,2020-03-02 19:41:27
"b""I thought I've seen it all in Nigeria\n\nUntil one yoruba man told me that peppersoup will cure Corona virus \xf0\x9f\x98\x95 #DK https://t.co/aVYRNlzMFB""",Lagos,2020-03-02 19:41:14
"b'UK exploited Nigeria, France exploited Nigeria. \n\nCorona virus from China.\nOur health minister said \xe2\x80\x9cwe are fully ready for any form of Corona virus\xe2\x80\x9d. But no, it\xe2\x80\x99s Italy \n\nWhat did Italy do to you exactly? https://t.co/rnnMKJRXNP'","Coventry, England",2020-03-02 19:40:31
b'DO YOU KNOW?:\nARMED HERDSMEN KILLED MORE PEOPLE YESTERDAY IN KADUNA NIGERIA ALONE THAN CORONA VIRUS HAS KILLED IN AFRICA SINCE 2019.\n\n#Coronavirusnyc #MadeInLagos #CoronaVirusUpdates #78HoursPraise #CoronaOutbreak #coronavirus #RenosNuggets #mondaythoughts #ffk #nigeria',ONITSHA,2020-03-02 19:37:14
"b'Just been informed that the deadly Corona Virus has hit Senegal! Pray they contain it properly with all sense of seriousness. Should this #CoronaOutBreak engulf Senegal,other West African States especially northern Nigeria will be in serious pandemic panic. Perish the thought'",,2020-03-02 19:36:04
"b'In Nigeria we go to church from Monday through Sundays, yet we try to extort our brothers and sisters in the Lord during any little scarcity. E.g: Fuel, Ebola, Sars and Corona virus!'","Abuja, Nigeria",2020-03-02 19:35:40
"b""CORONA virus, you have entered into the wrong country (Nigeria). See what happened yo your late brother EBOLA. You will die at last by God's grace. Ameen!""","Ibadan, Nigeria",2020-03-02 19:34:07
"b""Don't come to Nigeria and someone brought himself to Nigeria with Corona virus and added to the heat\xf0\x9f\x98\x82 https://t.co/sY0mQVJacp""","Lagos, Nigeria",2020-03-02 19:28:05
b'#CoronaOutbreak NEWS\n\n4 of the 5 Confirmed Corona Virus #Covid_19 Cases in Africa are Foreigners\n\n\xc2\xbb1st Case-Egypt&gt;a Chinese\n\xc2\xbb2nd-Algeria&gt;an Italian\n\xc2\xbb3rd-Nigeria&gt;an Italian\n\xc2\xbb4th-Senegal&gt;France Citizen\n\xc2\xbb5th-Tunisia&gt;Tunisian who just returned from Italy\n\n#COVID19\n#CoronaVirusUpdates https://t.co/YHws4pGHsX',Africa,2020-03-02 19:26:32
"b'#mondayreport Hi @TrevorOmbija,\nQsn. Does Kenya have capacity to test/diagnose and if yes where? By last week, WHO reported that, Only 6 African countries can Test for Corona virus.  They are South Africa, Ghana, Nigeria, Sierra Leone, Madagascar and Senegal.'","Nairobi, Kenya",2020-03-02 19:24:41
"b""@olakiiiitan @keyrah__ Can't you dash govt the money to use it to fight corona virus?\n\nLolz""","Lagos, Nigeria",2020-03-02 19:20:43
"b'Corona virus in Nigeria is scam! , \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80'",,2020-03-02 19:18:12
b'@ShehuSani Nothing like corona virus in \xf0\x9f\x87\xb3\xf0\x9f\x87\xacNigeria... Is APC government want to steal more...',Nigeria,2020-03-02 19:06:29
b'There is too much of God in Nigeria for any Corona Virus to survive.\n\n@eben_rocks \n\n#MMPraise #78HoursPraise https://t.co/ofVHApbCsU',RedemptionCamp Lagos-Ibadan NG,2020-03-02 19:04:11
b'There is too much of God in Nigeria for any Corona Virus to survive.\n\n@eben_rocks \n\n#MMPraise #78HoursPraise https://t.co/plTXkGBW4E',"RCCG, Redemption Camp. NG",2020-03-02 19:02:48
"b'*Corona virus, you have entered into a wrong country* *_(NIGERIA)_* *you will die here. Ask your late brother Ebola.* \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x81\xf0\x9f\x98\x85\xf0\x9f\x98\x84\xf0\x9f\x98\x9d'","kano, Nigeria",2020-03-02 19:00:27
"b'@juggernautty007 man, the Corona Virus is coming to Indonesia. There were two people infected already \xf0\x9f\x98\xa2\n\nHas it affect Nigeria yet?'",,2020-03-02 18:56:41
"b""Egypt\nNigeria\nTunisia\nAlgeria\nSenegal\n\nI sincerely hope African countries wouldn't be too hit with Corona virus""",Utopia,2020-03-02 18:55:41
b'@Chemicalboyy When someone told me Corona virus is in Nigeria',"Ibada, Nigeria",2020-03-02 18:51:09
b'@seunokin Ok. But corona virus is not in Nigeria yet. Let him take the cure to china. They will appreciate it as they need serious help.',Lagos,2020-03-02 18:36:34
"b'CORONA VIRUS CONFIRMED IN SENEGAL, TUNISIA\n\nSenegal &amp; Tunisia have today confirmed their first cases of the Virus. \n\nThe Senegalese case is a French man who\xe2\x80\x99d just returned from France. \n\nIn Tunisia, it\xe2\x80\x99s a Tunisian man who\xe2\x80\x99s just returned from Italy.\n\n Egypt, Algeria &amp; Nigeria.'","Kampala, Uganda",2020-03-02 18:28:54
b'Italy seems to be the major carrier of Corona Virus. Proactive measures must be taken against the country to curtail the virus in  Nigeria @MBuhari  @nassnigeria @DrAhmadLawan @GBabi https://t.co/TESjuAgdIp',Nigeria,2020-03-02 18:28:38
"b'Sad Update;\n\nSenegal has confirmed its first case of Corona Virus from a visiting French national. This becomes the 4th case in Africa, after Egypt, Libya and Nigeria; all coming from Europe.\n\n#CoronaOutbreak #CoronaVirusUpdate'","Nairobi, Kenya",2020-03-02 18:27:43
