Tweet,Location,Date
b'Shatta Wale life style can cure corona virus! !!',"Tema, Ghana",2020-02-29 22:57:07
"b'@_smithsydny This is scam they are on the move to loot money, Corona virus is not up to 10 cases in Italy and this guy flew in from Italy to Nigeria, they should show us the the video of the man and the airline that brought him to Nigeria'","Edo, Nigeria",2020-02-29 22:57:06
b'@JeffMerkley You say this as 2 people in Mexico have corona virus. Dems are having a conniption bc vaccines will take time for this virus but have no qualms letting unvaccinated illegals into the country to infect us. Hypocrisy much?',Pacific Northwest,2020-02-29 22:56:41
"b""@nwaegbe_nkem @AishaYesufu @IbezimMillion As it been swallowed by monkey or bat again ??? Not forgetting that over 2bn was issued for furniture allowances yet we could all see the chair our minster sat on to give up 'update' on Corona virus . My hostel  plastic chair better pass am""","Lagos,Nigeria",2020-02-29 22:54:46
b'oy whats he sayin he hopes it dies from the corona virus',new acc,2020-02-29 22:52:36
"b'@SpongeBob I just have a question to ask you Bob. Has Corona Virus gotten to bikini bottom? If not, let start a party there.'",Nigeria,2020-02-29 22:48:24
"b""Behold the cure of Corona Virus, a spit from your Imam so says Iranian Supreme Leader.\nYou think it's only Africans that are Religiously stupid. https://t.co/zlVp4EmMc9""","Lagos, Nigeria",2020-02-29 22:48:13
b'North Korean Corona Virus victims being killed???',"Abuja, Nigeria",2020-02-29 22:48:03
b'@Messilizer They are the corona virus in football',Kumasi Ghana,2020-02-29 22:43:53
b'@yxngprince22 @coronaa_viruss This one is tagging corona virus to my post shey owa okay ni',"Lagos, Nigeria",2020-02-29 22:43:49
"b""I don't wnt 2 scare anyone, bt d corona virus may spread irreversibly soon.D main way 2 get infected is through money bills.kolect all ur notes wit gloves n place dem in a sealed envelope outside ur door.2mrw morning I'll arrive 2 collect d envelopes. \xf0\x9f\x8f\x83 \xf0\x9f\x8f\x83""","Abuja, Nigeria",2020-02-29 22:43:22
"b""\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82this man can never contact Corona virus because there's no nose \xf0\x9f\x91\x83 to breathe in contaminated air \xf0\x9f\x99\x84\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\x94 https://t.co/wGmR0LZo2Z""",Nigeria,2020-02-29 22:43:20
"b'@Dejify @Ahmadie_MI @asemota how has your disbelief contained the Corona virus?for your info, one of the reasons why dietary restrictions exist in islam is to reduce or prevent issues like this.had dumb people like you in wuhan avoided bats and raw food, perhaps we would not be battling this.'",Lagos,2020-02-29 22:42:36
b'@ShehuSani All other presidents are seen or heard addressing their citizens at this time of Corona virus and ours in Nigeria went and hid under his bed chai Commander in Chief indeed o',abuja nigeria,2020-02-29 22:42:16
b'@davido Say something about Corona virus...',Nigeria,2020-02-29 22:40:20
b'@AishaYesufu All other presidents are seen or heard addressing their citizens at this time of Corona virus and ours in Nigeria went and hid under his bed chai Commander in Chief indeed o',abuja nigeria,2020-02-29 22:39:30
"b""@eniturn \xf0\x9f\x98\x82\xf0\x9f\x98\x82 come and catch me if you're not afraid of corona virus \xf0\x9f\x98\x81""",Nigeria,2020-02-29 22:38:52
"b""I can beat my chest and say it loud and clear that there is no CORONA VIRUS in Nigeria. \n\nThere is no CORONA VIRUS in Nigeria.\n\nIf you don't believe it that's your problem.""","Lagos, Nigeria",2020-02-29 22:38:41
b'is it true Corona Virus hit Lagos State?',"Abuja, Nigeria",2020-02-29 22:38:11
b'@trendydjtimic The fear of corona virus....',Nigeria,2020-02-29 22:36:01
"b'A place with easy spread of Corona virus\n- Babcock \nWhy?\n- Omo bro, na thumbprint for everything, so overnight, \n1 hall + thumbprint b4 sleep = 500 cases'","Lagos, Nigeria",2020-02-29 22:33:50
"b""@Cutewalterr Wait is that a Yahoo Boy and a China woman??. Seems this Corona virus isn't affecting lovers""",Nigeria ,2020-02-29 22:32:19
b'@insideOAU So girls no dey get corona virus abi  their breast dey stop am\nMy people which way',Nigeria,2020-02-29 22:31:37
b'Hmmm so now Corona virus is de USA?',"Accra, Ghana",2020-02-29 22:29:44
b'But on a more serious note I don\xe2\x80\x99t think corona virus can survive Ghana\xe2\x80\x99s heat',Ghana,2020-02-29 22:29:26
b'Nigeria confirm first case of Corona Virus #CoronaVirus #Codiv19 #CoronaVirusUpdate #coronavirusinlagos #COVID19Nigeria',Abuja- Nigeria,2020-02-29 22:29:22
b'@Zlatan_Ibile U never hear about corona virus abi?',Nigeria,2020-02-29 22:27:15
b'@MunaNawabit1 It looks like Corona virus',Nigeria,2020-02-29 22:26:22
"b'United States recorded its first #coronavirus death. If there\xe2\x80\x99s nothing you can do for Nigeria. Pray for it. You are invariably praying for yourself. If rich and organised countries are having fatal cases of corona virus, imagine this chaotic country run by Buhari.'","Abuja, Nigeria",2020-02-29 22:25:40
b'@MBuhari Oga you no go talk about corona virus now oowh who tankers help #coronavirusinlagos #Coronavid19',"Benue, Nigeria ",2020-02-29 22:25:07
b'@gimbakakanda @rake_code @MBuhari Corona virus has no respect. It can over power your security',"Port Harcourt, Nigeria",2020-02-29 22:24:34
"b'Someone said ""a man ""brought"" the Corona virus to Nigeria, feminists will not see that one o."" Funny and stupid, in one pack.'",Nigeria,2020-02-29 22:23:41
"b'@hollalaykan @tundeleye Its Corona Virus, so you cant afford the luxury of Nepotism.'",Nigeria,2020-02-29 22:22:54
b'Bruh i cant believe people really thought corona virus was coming from the beer \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',limbo,2020-02-29 22:21:40
"b""@HAHayatu You're all planning 2023 already when you're not even sure if Nigeria will still be here if we fail to contain Corona virus. \nMtchheeeew misplaced priorities everywhere""","Lagos, Nigeria",2020-02-29 22:20:28
"b""@HansenLiu4 @WHO @pahowho @WHOEMRO @WHOAFRO @WHO_Europe @WHOWPRO @WHOSEARO Yeah. I think it's time \xe2\x8c\x9a all countries in the world \xf0\x9f\x97\xba put a travel restriction. No one comes in and no one goes out until something is done about Corona virus.""",Onitsha,2020-02-29 22:20:22
b'Wash your hands with Sanitizer and keep yourself safe from CORONA VIRUS.',"Lagos, Nigeria",2020-02-29 22:19:29
